Time to Maturity,Strike,bid,ask,Average ,Implied Volatility
0.083333333,5000,70.30,71.40,70.85,0.1263
0.083333333,5005,68.30,69.40,68.85,0.1272
0.083333333,5010,64.60,65.70,65.15,0.1249
0.083333333,5015,63.00,63.60,63.30,0.1254
0.083333333,5020,60.30,60.90,60.60,0.1248
0.25,5000,151.70,155.70,153.70,0.1543
0.25,5005,147.80,152.90,150.35,0.1539
0.25,5010,145.40,149.50,147.45,0.1529
0.25,5015,141.60,146.70,144.15,0.1525
0.25,5020,141.00,141.80,141.40,0.1499
0.5,4975,262.30,269.50,265.90,0.1812
0.5,5000,245.70,252.80,249.25,0.1779
0.5,5025,229.60,236.50,233.05,0.1747
0.5,5050,214.00,220.70,217.35,0.1715
0.5,5075,201.10,203.80,202.45,0.1673
1,4975,428.40,441.00,434.70,0.2126
1,5000,411.80,424.40,418.10,0.2101
1,5025,395.50,407.90,401.70,0.2075
1,5050,379.50,391.70,385.60,0.2050
1,5075,363.70,375.80,369.75,0.2026
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
