Time to Maturity,Strike,bid,ask,Average ,Implied Volatility
0.083333333,5000,55.60,56.70,56.15,0.1095
0.083333333,5005,57.60,58.70,58.15,0.1086
0.083333333,5010,59.80,60.90,60.35,0.1080
0.083333333,5015,63.20,63.80,63.50,0.1085
0.083333333,5020,64.30,65.50,64.90,0.1067
0.25,5000,100.50,101.30,100.90,0.1051
0.25,5005,101.10,102.90,102.00,0.1041
0.25,5010,104.10,104.80,104.45,0.1035
0.25,5015,104.80,106.60,105.70,0.1027
0.5,5020,107.90,108.60,108.25,0.1020
0.5,4975,136.20,138.70,137.45,0.1096
0.5,5000,143.90,146.40,145.15,0.1063
0.5,5025,152.00,154.50,153.25,0.1027
0.5,5050,160.70,163.20,161.95,0.0991
0.5,5075,169.90,172.40,171.15,0.0954
1,4975,207.90,217.40,212.65,0.1161
1,5000,214.90,224.50,219.70,0.1133
1,5025,222.30,232.00,227.15,0.1105
1,5050,229.80,239.70,234.75,0.1075
1,5075,245.80,255.90,250.85,0.1013
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
